Date,,Rachel / Papineau,Berri1,Maisonneuve_2,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier,Totem_Laurier,Notre-Dame,Saint-Antoine,René-Lévesque,Viger,Boyer,Maisonneuve_3,University,Saint-Urbain,Saint-Laurent U-Zelt Test
01/01/2016,00:00,93,32,51,27,5,1,0,13,68,1,6,12,11,0,16,14,38,119
02/01/2016,00:00,141,68,93,6,16,6,0,9,106,2,11,16,14,0,25,30,67,212
03/01/2016,00:00,116,78,118,4,6,1,0,6,59,0,10,25,5,3,38,25,21,189
04/01/2016,00:00,202,118,165,60,46,0,2,3,99,0,9,49,29,6,80,111,4,307
05/01/2016,00:00,241,183,239,25,110,5,2,3,106,2,12,77,44,2,86,158,11,376
06/01/2016,00:00,302,305,378,14,126,3,45,3,189,11,53,120,62,3,116,224,29,567
07/01/2016,00:00,424,425,486,10,164,5,70,3,54,13,60,155,73,0,142,313,34,650
08/01/2016,00:00,432,393,439,14,131,3,77,18,91,10,61,157,66,1,138,310,75,721
09/01/2016,00:00,276,139,197,4,42,8,34,3,114,0,22,38,19,7,73,100,78,397
10/01/2016,00:00,252,136,151,11,55,10,59,6,196,12,13,42,9,30,46,73,80,390
11/01/2016,00:00,439,393,508,28,222,6,93,17,312,12,56,133,60,31,168,340,193,730
12/01/2016,00:00,422,398,451,21,206,8,129,20,253,18,46,139,73,12,152,286,125,651
13/01/2016,00:00,371,324,384,15,227,6,72,9,118,1,31,112,46,0,126,234,6,524
14/01/2016,00:00,390,347,437,2,142,8,76,9,124,16,29,106,45,1,134,274,1,534
15/01/2016,00:00,358,367,372,1,115,1,70,20,66,18,41,123,56,0,120,221,3,502
16/01/2016,00:00,227,113,145,5,29,7,20,14,88,6,12,32,11,0,42,70,2,349
17/01/2016,00:00,189,111,118,8,28,4,13,8,63,3,6,35,10,0,31,65,4,326
18/01/2016,00:00,350,340,339,2,99,1,72,12,235,11,22,105,38,0,111,151,1,463
19/01/2016,00:00,268,271,309,4,112,2,28,8,138,19,10,83,42,0,121,153,0,516
20/01/2016,00:00,415,376,432,12,139,0,83,7,222,31,63,110,76,0,139,232,119,718
21/01/2016,00:00,388,450,456,11,163,0,75,14,293,42,66,133,46,4,155,281,112,697
22/01/2016,00:00,465,400,415,55,185,0,78,23,299,26,75,147,49,5,155,230,117,612
23/01/2016,00:00,237,146,162,12,55,0,25,11,160,11,13,40,15,3,48,70,62,361
24/01/2016,00:00,213,116,145,18,57,0,27,3,155,6,7,43,18,4,41,58,67,322
25/01/2016,00:00,510,441,528,6,287,4,164,11,394,35,61,157,48,2,168,354,183,719
26/01/2016,00:00,421,417,543,7,257,4,109,15,303,42,44,153,64,15,174,311,166,661
27/01/2016,00:00,294,460,563,19,272,4,143,27,393,41,76,192,81,25,185,341,221,849
28/01/2016,00:00,386,419,582,15,263,9,132,27,388,35,80,170,53,22,181,396,269,814
29/01/2016,00:00,435,421,523,27,264,11,140,25,368,35,62,153,58,16,158,312,195,742
30/01/2016,00:00,245,136,212,9,76,11,35,11,160,15,6,52,18,6,56,119,106,454
31/01/2016,00:00,295,180,303,21,122,29,82,24,203,24,21,81,19,46,95,156,166,532
01/02/2016,00:00,697,559,737,58,384,31,251,20,416,39,72,200,90,70,225,522,270,1060
02/02/2016,00:00,694,607,810,47,442,25,221,18,450,73,103,199,76,54,240,557,337,1162
03/02/2016,00:00,322,267,381,24,166,8,74,22,81,23,37,94,48,16,112,169,61,463
04/02/2016,00:00,684,613,823,35,467,16,246,27,384,69,81,201,83,91,246,526,306,1084
05/02/2016,00:00,679,517,686,45,406,28,185,33,424,59,79,172,75,64,222,470,302,1020
06/02/2016,00:00,228,157,205,20,67,7,50,27,93,9,10,55,10,5,53,85,74,432
07/02/2016,00:00,205,145,145,3,66,8,8,29,46,6,10,44,19,2,56,74,85,335
08/02/2016,00:00,453,413,575,7,288,8,38,20,156,41,55,142,59,4,183,374,198,618
09/02/2016,00:00,457,422,540,26,276,10,60,17,211,41,56,139,52,2,148,318,156,668
10/02/2016,00:00,464,409,528,15,280,5,101,24,105,42,56,158,60,0,178,304,56,661
11/02/2016,00:00,395,396,450,8,172,3,34,19,47,41,44,137,48,0,132,340,26,818
12/02/2016,00:00,326,298,386,7,137,6,36,22,76,32,44,112,65,0,114,248,21,604
13/02/2016,00:00,105,63,82,22,27,0,2,2,17,5,1,9,6,0,39,48,1,237
14/02/2016,00:00,110,103,284,13,28,2,0,2,10,11,3,18,9,1,18,28,0,191
15/02/2016,00:00,347,286,369,9,148,10,35,7,117,35,29,102,59,0,117,238,0,574
16/02/2016,00:00,211,129,184,5,12,0,25,3,44,5,20,39,17,1,85,44,0,336
17/02/2016,00:00,462,264,385,70,182,7,36,20,82,0,27,30,32,0,143,181,0,617
18/02/2016,00:00,435,362,418,9,198,2,14,3,123,21,56,107,58,4,131,240,0,566
19/02/2016,00:00,431,396,440,50,200,2,63,19,190,20,41,124,54,1,126,228,34,696
20/02/2016,00:00,172,89,111,4,18,4,12,3,29,2,9,16,7,4,48,58,53,270
21/02/2016,00:00,221,112,159,90,50,19,18,8,87,8,14,49,11,6,57,20,94,360
22/02/2016,00:00,456,382,466,6,219,9,38,18,159,24,65,135,61,8,153,0,181,695
23/02/2016,00:00,478,415,516,7,239,5,51,21,207,29,50,145,63,11,173,0,231,774
24/02/2016,00:00,231,255,334,7,70,6,16,7,58,8,12,78,37,2,105,0,26,459
25/02/2016,00:00,256,207,288,9,76,2,2,11,74,8,264,47,50,0,101,75,34,317
26/02/2016,00:00,207,212,300,8,50,6,0,18,26,8,13,65,37,1,92,118,5,382
27/02/2016,00:00,177,117,137,7,11,5,0,3,41,5,6,3,8,0,44,56,15,181
28/02/2016,00:00,114,94,111,4,3,3,1,13,23,2,5,7937,8,0,45,47,5,174
29/02/2016,00:00,187,143,229,9,27,6,1,10,27,7,34,69,44,1,79,122,2,280
01/03/2016,00:00,349,247,372,3,52,6,0,9,55,14,43,92,47,0,90,176,1,388
02/03/2016,00:00,181,171,244,1,3,1,0,7,24,14,28,3,28,3,71,86,1,342
03/03/2016,00:00,293,218,305,4,6,4,0,11,41,15,29,55,62,1,88,147,81,526
04/03/2016,00:00,291,288,311,18,4,11,0,9,116,20,36,151,52,1,84,152,129,534
05/03/2016,00:00,268,142,180,37,5,12,3,21,78,8,17,42,18,12,81,65,85,340
06/03/2016,00:00,258,165,200,12,5,30,2,18,102,12,14,52,17,3,66,80,99,439
07/03/2016,00:00,397,306,408,7,44,6,11,8,154,23,44,100,52,2,112,246,88,741
08/03/2016,00:00,557,455,652,5,53,12,47,26,276,25,66,165,66,4,181,76,267,823
09/03/2016,00:00,633,549,791,5,332,13,196,57,360,31,83,228,76,34,250,290,321,1047
10/03/2016,00:00,724,579,779,13,417,25,269,199,381,50,102,238,71,48,269,0,345,1110
11/03/2016,00:00,822,674,916,20,515,68,275,102,466,62,79,229,78,49,291,0,380,1266
12/03/2016,00:00,953,484,713,15,392,209,242,198,457,55,77,174,48,80,277,298,372,1252
13/03/2016,00:00,932,534,685,25,382,171,253,250,450,95,39,243,33,84,298,0,322,1406
14/03/2016,00:00,800,665,855,23,569,27,332,56,449,96,94,256,99,52,285,837,360,1216
15/03/2016,00:00,838,778,900,47,603,36,331,76,503,145,1,311,66,39,246,574,392,1325
16/03/2016,00:00,1013,969,1230,61,797,69,475,103,607,164,0,136,82,156,421,866,510,1689
17/03/2016,00:00,1017,1008,1239,62,815,76,433,72,568,200,95,260,84,114,377,844,496,1726
18/03/2016,00:00,705,596,893,54,475,38,232,187,421,100,58,0,65,78,322,552,351,1191
19/03/2016,00:00,652,401,546,65,291,74,131,233,400,83,29,15,17,71,172,264,283,1025
20/03/2016,00:00,691,396,603,67,329,110,147,359,366,105,21,5,12,96,187,287,268,1049
21/03/2016,00:00,1093,946,1249,60,738,132,405,475,613,265,117,42,88,104,408,913,490,1736
22/03/2016,00:00,1061,1048,1224,87,815,134,392,451,621,261,116,194,98,99,427,927,539,1761
23/03/2016,00:00,925,757,1001,45,601,82,315,281,602,182,111,0,68,129,292,665,429,1434
24/03/2016,00:00,412,389,503,33,280,7,106,100,211,72,41,0,38,16,144,353,199,729
25/03/2016,00:00,248,142,207,20,24,9,2,56,12,11,13,0,14,3,63,85,53,281
26/03/2016,00:00,511,297,381,0,152,89,70,258,249,43,26,65,23,31,155,147,184,646
27/03/2016,00:00,950,665,623,25,389,591,199,912,367,230,43,307,39,169,345,258,267,1193
28/03/2016,00:00,291,157,268,21,160,45,76,122,197,68,30,83,21,42,107,202,112,470
29/03/2016,00:00,1340,1237,1347,108,881,211,523,505,754,324,123,464,100,218,471,965,540,1996
30/03/2016,00:00,1583,1495,1748,155,1170,372,756,885,931,422,179,571,187,246,652,1216,667,2552
31/03/2016,00:00,614,536,610,66,459,57,227,229,407,148,85,237,58,85,217,439,285,950
